2,60,-7,27
-5,125,42,-16
-15,95,-45,-17
-14,125,-22,4
7,81,6,-27
-29,136,-54,44
41,46,14,40
-19,61,-22,-40
38,60,-36,-45
42,94,44,25
51,135,14,-1
-24,54,56,9
39,112,53,-8
-31,82,57,46
23,145,-50,-40
4,125,-34,-20
10,51,34,58
18,58,-14,24
-18,64,-2,-40
50,126,-36,-11
34,81,-29,-58
-27,43,-16,-6
-37,73,55,37
42,86,-4,-22
31,113,10,1
28,82,44,50
-59,98,-6,-37
39,139,-41,-57
34,134,48,-56
54,68,-33,-34
45,55,25,32
-48,42,-60,10
-44,110,-43,-24
-2,86,10,-54
-11,125,3,56
-49,127,6,0
-49,93,-4,38
-19,85,-58,35
-58,130,43,41
-3,47,-26,13
-22,-42,64,6
2,-6,87,30
32,-27,142,6
-37,-28,128,23
31,-28,138,-18
32,-29,152,48
37,13,43,-33
17,59,118,-53
56,49,97,52
-56,-9,141,14
-19,43,112,-26
42,-36,148,45
52,-22,132,-45
-39,44,142,-42
2,2,55,2
13,37,147,-13
-2,3,44,25
-2,55,54,-5
-44,-23,64,-24
-4,-46,117,-55
-3,58,100,-53
16,22,76,-12
-43,12,60,-36
48,0,122,-26
-12,-52,51,22
38,4,155,53
-34,-56,77,59
2,-43,92,-28
-29,46,51,39
43,-49,82,-21
15,-37,58,50
-30,22,60,-13
59,29,148,-38
-16,-4,148,51
-6,-16,110,-1
-30,7,65,38
-51,-59,56,-10
44,-31,152,26
39,55,105,-57
-52,46,54,-13
-6,-20,152,54
50,33,56,-42
32,-38,148,-19
55,-57,124,46
19,15,45,-7
-45,-54,93,-6
6,40,136,-8
44,-24,59,53
49,3,135,-14
6,-38,89,-3
33,12,79,37
14,-19,69,13
-2,-44,104,-57
-2,-36,51,-21
-5,-58,89,-8
45,-60,90,42
-7,8,81,-3
44,-10,69,41
-36,40,47,-18
-7,33,147,-22
-52,4,107,41
-41,-34,112,-28
-42,49,74,-51
-4,26,130,41
49,53,102,7
26,31,125,-55
1,13,91,-23
-33,19,63,-26
39,23,44,-50
37,-16,85,-34
-41,-7,68,32
11,-46,108,36
-39,-31,77,10
10,-12,105,-50
-39,42,157,-11
49,43,105,32
-57,-50,60,-1
1,26,113,-56
31,14,95,-8
-7,4,48,-8
-54,3,-53,55
-29,-27,-28,156
3,25,-17,135
-43,-30,37,61
51,-17,-26,80
34,-60,58,143
-11,24,-34,121
38,-39,-54,115
-45,-43,-47,57
30,-46,48,106
47,17,-6,71
21,-26,35,148
3,-21,52,88
-8,54,54,98
-38,-16,35,93
43,47,57,85
-60,6,-48,74
41,-5,-41,44
-18,-6,-46,64
49,-24,14,75
55,-21,16,43
35,48,11,62
-20,4,32,93
55,-9,43,105
-43,22,27,98
-17,0,2,84
-50,-44,6,90
7,-7,-32,143
-48,29,-29,155
12,-54,15,146
29,-18,54,124
-53,-22,6,48
47,5,41,98
37,-6,57,119
50,-49,-48,79
26,7,-25,42
29,-13,37,126
34,-20,-14,128
-3,-36,-51,144
5,30,-5,154
9,19,1,90
53,55,-28,40
39,43,-50,132
47,-20,-60,84
22,-21,-18,60
-58,-2,54,141
-30,56,-27,57
-41,45,26,62
-12,24,52,153
54,40,34,117
15,-24,-31,68
-49,-34,-26,76
4,39,-43,126
-42,-55,-55,91
46,17,29,64
57,-3,50,156
-17,4,-14,72
-8,-19,-3,118
57,14,-31,116
11,-17,31,99
38,6,11,91
4,-21,53,122
56,-10,22,69
1,-32,5,62
2,0,-13,54
-4,39,59,84
-11,-26,-58,103
-45,54,-3,105
-60,-17,-23,124
40,-10,24,137
-39,57,32,55
33,-3,9,49
37,-46,22,132
1,-44,37,151
12,54,15,147
53,18,2,157
-2,-12,-59,121
-40,-48,59,49
40,-31,3,55
-40,-4,39,128
